AGRDE_FLAG_NM,BMI_IDEX_GRAD_NM,MBER_SEXDSTN_FLAG_CD,COAW_FLAG_NM,SPORTS_STEP_NM,FLAG_ACCTO_RECOMEND_MVM_RANK_CO,RECOMEND_MVM_NM
10대,3단계비만,M,참가증,준비운동,3,상지 루틴 스트레칭
10대,3단계비만,M,참가증,준비운동,4,유산소 운동 전 동적 루틴 스트레칭
10대,3단계비만,M,참가증,준비운동,5,등/어깨 뒤쪽 스트레칭
10대,3단계비만,M,참가증,본운동,1,팔굽혀 펴기
10대,3단계비만,M,참가증,본운동,2,윗몸올리기
10대,3단계비만,M,참가증,본운동,3,엎드려 버티기
10대,3단계비만,M,참가증,본운동,4,앉았다 일어서기
10대,3단계비만,M,참가증,본운동,5,줄넘기
10대,3단계비만,M,참가증,마무리운동,1,하지 루틴 스트레칭2
10대,3단계비만,M,참가증,마무리운동,2,전신 루틴 스트레칭
10대,3단계비만,M,참가증,마무리운동,3,상지 루틴 스트레칭
10대,3단계비만,M,참가증,마무리운동,4,양발 나란히 서기
10대,2단계비만,F,2등급,마무리운동,5,점프 후 버티기
10대,3단계비만,M,2등급,마무리운동,5,벌림 밸런스 운동-60~120도 사이
10대,정상,F,3등급,마무리운동,3,조깅
10대,정상,F,3등급,마무리운동,4,목 스트레칭
10대,정상,F,3등급,마무리운동,5,엉덩이 스트레칭
10대,정상,M,3등급,준비운동,1,목 스트레칭
10대,정상,M,3등급,준비운동,2,유산소 운동 전 동적 루틴 스트레칭
10대,정상,M,3등급,준비운동,3,전신 루틴 스트레칭
10대,정상,M,3등급,준비운동,4,앉아서 밴드 잡고 몸통 돌리기
10대,정상,M,3등급,준비운동,5,폼롤러 이용 유연성운동 루틴 프로그램
10대,정상,M,3등급,본운동,1,달리기
10대,비만전단계비만,F,3등급,본운동,5,상지 루틴 스트레칭
10대,비만전단계비만,F,3등급,마무리운동,1,조깅
10대,비만전단계비만,F,3등급,마무리운동,2,전신 루틴 스트레칭
10대,비만전단계비만,F,3등급,마무리운동,3,자가근막이완술 루틴 스트레칭
10대,비만전단계비만,F,3등급,마무리운동,4,무릎굽혀 원 그리기
10대,비만전단계비만,F,3등급,마무리운동,5,엉덩이 스트레칭
10대,1단계비만,F,3등급,준비운동,3,탄력밴드 어깨 가쪽 돌림
10대,1단계비만,F,3등급,준비운동,4,옆구리늘리기
10대,1단계비만,F,3등급,준비운동,5,폼롤러 이용 유연성운동 루틴 프로그램
10대,1단계비만,F,3등급,본운동,1,턱걸이
10대,1단계비만,F,3등급,본운동,2,네발기기 자세에서 다리 위로 뻗어올리기
10대,1단계비만,F,3등급,본운동,3,누워서 배가로근 수축 II
10대,1단계비만,F,3등급,본운동,4,네발기기 자세로 팔 다리 들기
10대,2단계비만,M,3등급,마무리운동,2,엉덩이 스트레칭
10대,2단계비만,M,3등급,마무리운동,3,목 스트레칭
10대,2단계비만,M,3등급,마무리운동,4,조깅
