사업장명,소재지전화,소재지전체주소
염산태권도장,061-353-9533,전라남도 영광군 염산면 봉남리 720-9번지
영광전남체육관,061-352-1130,전라남도 영광군 영광읍 도동리 186번지
134리듬복싱,0629539909,광주광역시 광산구 운남동 387-42번지 3층
명성체육관,565-5474,경기도 구리시 수택동 370번지 (가)
명지대 제일 태권도,743-3824,경기도 성남시 중원구 중앙동 2716번지 4층
압천 복싱 체육관,02-2213-6111,서울특별시 성동구 용답동 61-4번지
태권도청주체육관,216-3911,충청북도 청주시 청원구 내덕동 188-4번지 (3층)
힘찬태권도,213-3344,충청북도 청주시 청원구 율량동 1393번지 2층
태양태권도장,211-1354,충청북도 청주시 청원구 율량동 1268번지 상가C동201호
용두장안체육관,02-923-0656,서울특별시 동대문구 제기동 148-15번지
태권 드림체육관,581-7834,전라북도 부안군 부안읍 봉덕리 789-1번지
보성합기도체육관,061-852-8662,전라남도 보성군 보성읍 보성리 886-1번지
국술원 전남본관,061-794-8555,전라남도 광양시 광영동 767-6번지
극동검도관,033-461-7177,강원도 인제군 북면 원통리 655-8번지 5통2반
인하한별대무태권도,032-506-6090,인천광역시 부평구 십정동 186-31번지
유호체육관,033-553-2144,강원도 태백시 황지동 115-16번지
GMA해동검도.합기도,665-2587,경기도 평택시 지산동 1066번지
드림유도복싱체육관,942-9938,경기도 파주시 동패동 1695-4번지 704~5호
합기도 흑추관,423-1460,충청북도 단양군 단양읍 상진리 704번지
선무관,423-0390,충청북도 단양군 단양읍 도전리 208번지
청양검도관,942-3500,충청남도 청양군 청양읍 읍내리 225-2번지 KT사옥 내 2층
부강합기도체육도장,043)275-4993,세종특별자치시 부강면 부강리 467-2번지
내수검도관,215-8442,충청북도 청주시 청원구 내수읍 마산리 197-4번지
보람체육관,0415)866-7891,충청북도 청주시 흥덕구 오송읍 봉산리 425-1번지
동대문구민체육쎈타(태권도),2246-1281,서울특별시 동대문구 장안동 356번지
동대문구민체육센타(유도장),2246-1281,서울특별시 동대문구 장안동 356번지
노블레스 태권도,032-663-5055,경기도 부천시 송내동 504번지 2층
탑 복싱 체육관,032-442-0002,인천광역시 미추홀구 주안동 1005-5번지
명진태권도장,422-0988,대구광역시 중구 삼덕동3가 245-1번지
경희대태권도장,665-3373,충청남도 서산시 동문동 61-11번지 자성빌딩 5층
국가대표 김건일태권스쿨,053-792-5184,대구광역시 수성구 매호동 1344-11
한얼태권도장,053-742-0840,대구광역시 수성구 만촌동 816 만촌1차우방타운 301동 302호
힘차리 태권도장,053-782-7188,대구광역시 수성구 지산동 1234-1번지 상가 205동 3호
계명대 최우수 태권도장,053-791-2696,대구광역시 수성구 신매동 581번지 신매태성맨션 상가A동(112동)동 301호
황금태권도장,053-768-6068,대구광역시 수성구 황금동 366 캐슬골드파크 2단지
동일체육관,054-973-3133,경상북도 칠곡군 북삼읍 숭오리 22-7
숭오체육관,054-973-7450,경상북도 칠곡군 북삼읍 숭오리 17-20번지
계명대 하나태권도,054-976-1777,경상북도 칠곡군 석적읍 중리 171 상가 3층
태풍태권도체육관,054-977-5402,경상북도 칠곡군 석적읍 남율리 752-1번지
명품 MBA 태권도,054-977-3303,경상북도 칠곡군 석적읍 남율리 710 우방아파트 상가 802동 204호
오태태권도장,054-974-7626,경상북도 칠곡군 북삼읍 인평리 1086-6번지
북삼키즈태권도 체육관,054-974-7113,경상북도 칠곡군 북삼읍 숭오리 26-11번지
무예태권도체육관,054-977-1316,경상북도 칠곡군 석적읍 중리 141번지 부영아파트 상가 302호
엄지태권도장,054-975-8006,경상북도 칠곡군 북삼읍 인평리 658-3번지
북삼성무태권도장,054-972-0876,경상북도 칠곡군 북삼읍 인평리 306-7번지
한얼체육관,054-971-7896,경상북도 칠곡군 석적읍 남율리 737번지
바람소리 태권도장,054-973-9831,경상북도 칠곡군 약목면 관호리 923-10
창무키즈태권도,054-974-1471,경상북도 칠곡군 왜관읍 왜관리 281-204번지
오성태권도,054-971-9045,경상북도 칠곡군 석적읍 중리 221-22번지
인평태권도체육관,054-974-9748,경상북도 칠곡군 북삼읍 인평리 656-6번지
MTA 태권도,054-975-6252,경상북도 칠곡군 북삼읍 인평리 1031-13
강용1체육관,054-975-8997,경상북도 칠곡군 왜관읍 왜관리 777-21번지
나영철복싱클럽,054-971-0013,경상북도 칠곡군 왜관읍 왜관리 276-1번지
고려 익스트림 태권도장,054-976-0111,경상북도 칠곡군 석적읍 남율리 764번지
대교 태권도장,054-977-7319,경상북도 칠곡군 석적읍 남율리 599-4번지
남율 챔피언 태권도장,054-974-8770,경상북도 칠곡군 석적읍 남율리 172-5
중앙석사태권도,054-977-0058,경상북도 칠곡군 석적읍 중리 142-3번지
계명대 힘찬 태권스쿨,054-975-1316,경상북도 칠곡군 북삼읍 숭오리 26-2번지
금빛성무태권도장,054-976-0698,경상북도 칠곡군 왜관읍 왜관리 331-4번지
국송검도관,054-974-0010,경상북도 칠곡군 북삼읍 숭오리 26-8
성무체육관,054-975-0006,경상북도 칠곡군 약목면 복성리 972-18번지
사영광호림태권도장,054-655-7891,경상북도 예천군 예천읍 동본리 466-7번지 남해화학비료예천대리점
경신 태권도장,463-1733,경상북도 구미시 사곡동 503-2번지 상모사곡화성파크드림 상가동 301호
경북대드림태권도장,464-5995,경상북도 구미시 상모동 275-4번지
천지인 태권도장,471-4464,경상북도 구미시 인의동 992-11 2층
연세 필 태권도장,465-9981,경상북도 구미시 상모동 66-1번지 3층
보라매태권도장,458-0973,경상북도 구미시 형곡동 346-1번지 3층
미르태권도장,451-5978,경상북도 구미시 형곡동 187번지 4층
신신키즈태권도,473-8899,"경상북도 구미시 구평동 1087번지 구평 영무예다음 상가 114동 201호,202호"
상승체육관,0544525832,경상북도 구미시 송정동 3번지 푸르지오캐슬A단지아파트 상가동 302호
영무유도관 송정점,444-3705,경상북도 구미시 송정동 35-4 지하 1층
MK태권도장,476-5533,경상북도 구미시 옥계동 906번지 우미린 상가동 204호
연세 원남태권도,457-8834,경상북도 구미시 남통동 7-13번지 1층
경북대 동부태권도,473-7008,"경상북도 구미시 옥계동 909번지 현진에버빌 상가동 214호,215호"
MTA태권도장,451-0150,"경상북도 구미시 송정동 3번지 푸르지오캐슬A단지 307호,308호"
나라찬 키즈스포츠짐,054-971-1044,경상북도 칠곡군 왜관읍 왜관리 301-1번지
계명대 슈퍼맨 태권도장,054-920-8008,경상북도 칠곡군 석적읍 중리 170-4번지
계명대 캡틴 태권도장,054-977-8446,경상북도 칠곡군 석적읍 남율리 1290번지
제일태권도장,054-973-0969,경상북도 칠곡군 북삼읍 인평리 1031-1번지
강한아이태권도장,453-3357,경상북도 구미시 형곡동 137-1
엘리트 태권스쿨,444-0980,경상북도 구미시 도량동 90번지
계명석사태권도장,463-5998,"경상북도 구미시 사곡동 697-1 보성황실타운1차 상가 201동 401호,402호"
MVP합기도,465-2883,경상북도 구미시 사곡동 657-1
허리케인권투체육관,474-8757,경상북도 구미시 진평동 79-7
블랙 벨트 태권도장,444-5501,경상북도 구미시 봉곡동 166-8
황상체육관,473-0165,경상북도 구미시 황상동 199-1번지
부광체육관,4619919,경상북도 구미시 공단동 251번지 파라디아아파트
태권마루 태권도장,475-3737,경상북도 구미시 인의동 657-3
계명대엘리트태권도장,455-3966,경상북도 구미시 도량동 225-1번지
형곡부광태권도장,452-9567,경상북도 구미시 형곡동 140-3번지
MTA태양태권도장,472-4797,경상북도 구미시 황상동 118
홍익태권도장,443-7786,경상북도 구미시 도량동 227-2
한국태권도장,472-4220,경상북도 구미시 진평동 40-6
대한태권도장,476-1666,경상북도 구미시 옥계동 834-1번지 옥계메디컬센터 602호
예천검도관,054-652-5755,경상북도 예천군 예천읍 대심리 57-57번지
용인대박사백호태권도장,054-652-0952,경상북도 예천군 예천읍 대심리 71번지
태사랑 태권도장,054-654-1211,경상북도 예천군 호명면 산합리 1412번지 에비뉴타워
정도관,442-1133,경상북도 구미시 도량동 7
우정태권도장,474-6686,경상북도 구미시 황상동 191-4번지
신세계태권도장,464-2522,경상북도 구미시 상모동 77-1 신세계1단지 801동 201호
계명MTA태권도장,443-9567,경상북도 구미시 고아읍 원호리 444-7
