사업장명,소재지전화,소재지전체주소,좌표정보(x),좌표정보(y)
염산태권도장,061-353-9533,전라남도 영광군 염산면 봉남리 720-9번지,142708.460386,191102.04275
영광전남체육관,061-352-1130,전라남도 영광군 영광읍 도동리 186번지,155557.188701,197420.151963
134리듬복싱,0629539909,광주광역시 광산구 운남동 387-42번지 3층,183355.510306,186070.006744
명성체육관,565-5474,경기도 구리시 수택동 370번지 (가),211965.154390358,455339.562162764
명지대 제일 태권도,743-3824,경기도 성남시 중원구 중앙동 2716번지 4층,213062.113191356,437507.247026913
압천 복싱 체육관,02-2213-6111,서울특별시 성동구 용답동 61-4번지,204698.142503479,451409.649323386
태권도청주체육관,216-3911,충청북도 청주시 청원구 내덕동 188-4번지 (3층),243628.060231,350724.542634
힘찬태권도,213-3344,충청북도 청주시 청원구 율량동 1393번지 2층,243046.012272,351756.411411
태양태권도장,211-1354,충청북도 청주시 청원구 율량동 1268번지 상가C동201호,242748.751165,351857.945399
용두장안체육관,02-923-0656,서울특별시 동대문구 제기동 148-15번지,202679.351741699,453357.458955924
태권 드림체육관,581-7834,전라북도 부안군 부안읍 봉덕리 789-1번지,176264.227809,247342.235798
보성합기도체육관,061-852-8662,전라남도 보성군 보성읍 보성리 886-1번지,207464.742657,141056.643271
국술원 전남본관,061-794-8555,전라남도 광양시 광영동 767-6번지,265551.494885,163223.753293
극동검도관,033-461-7177,강원도 인제군 북면 원통리 655-8번지 5통2반,305570.367029771,514061.149763085
인하한별대무태권도,032-506-6090,인천광역시 부평구 십정동 186-31번지,173744.368788537,442132.742419631
유호체육관,033-553-2144,강원도 태백시 황지동 115-16번지,376582.586921353,407217.290307812
GMA해동검도.합기도,665-2587,경기도 평택시 지산동 1066번지,205468.740603724,397638.651303155
드림유도복싱체육관,942-9938,경기도 파주시 동패동 1695-4번지 704~5호,175045.701838597,469268.993042189
합기도 흑추관,423-1460,충청북도 단양군 단양읍 상진리 704번지,320503.000915,387192.930631
선무관,423-0390,충청북도 단양군 단양읍 도전리 208번지,321677.706173,387274.654668
청양검도관,942-3500,충청남도 청양군 청양읍 읍내리 225-2번지 KT사옥 내 2층,182243.926836,328067.27459
부강합기도체육도장,043)275-4993,세종특별자치시 부강면 부강리 467-2번지,232864.26004745,336468.166885092
내수검도관,215-8442,충청북도 청주시 청원구 내수읍 마산리 197-4번지,247750.310915,358330.268163
보람체육관,0415)866-7891,충청북도 청주시 흥덕구 오송읍 봉산리 425-1번지,228163.84635,346006.766114
동대문구민체육쎈타(태권도),2246-1281,서울특별시 동대문구 장안동 356번지,206464.060139046,451657.395402106
동대문구민체육센타(유도장),2246-1281,서울특별시 동대문구 장안동 356번지,206464.060139046,451657.395402106
노블레스 태권도,032-663-5055,경기도 부천시 송내동 504번지 2층,179200.328730554,442700.995616231
탑 복싱 체육관,032-442-0002,인천광역시 미추홀구 주안동 1005-5번지,172423.88231035,439618.22067652
명진태권도장,422-0988,대구광역시 중구 삼덕동3가 245-1번지,345142.654876,263914.246755
경희대태권도장,665-3373,충청남도 서산시 동문동 61-11번지 자성빌딩 5층,152269.095434,364945.812495
국가대표 김건일태권스쿨,053-792-5184,대구광역시 수성구 매호동 1344-11,353899.050792,261570.466173
한얼태권도장,053-742-0840,대구광역시 수성구 만촌동 816 만촌1차우방타운 301동 302호,349406.436979,262298.536178
힘차리 태권도장,053-782-7188,대구광역시 수성구 지산동 1234-1번지 상가 205동 3호,347376.353675,259282.469644
계명대 최우수 태권도장,053-791-2696,대구광역시 수성구 신매동 581번지 신매태성맨션 상가A동(112동)동 301호,353990.284783,260838.381912
황금태권도장,053-768-6068,대구광역시 수성구 황금동 366 캐슬골드파크 2단지,347544.089245,261408.212887
동일체육관,054-973-3133,경상북도 칠곡군 북삼읍 숭오리 22-7,320187.253256017,285877.237115956
숭오체육관,054-973-7450,경상북도 칠곡군 북삼읍 숭오리 17-20번지,320220.156853791,286102.793767839
계명대 하나태권도,054-976-1777,경상북도 칠곡군 석적읍 중리 171 상가 3층,326433.284128526,287044.873538835
태풍태권도체육관,054-977-5402,경상북도 칠곡군 석적읍 남율리 752-1번지,325607.887329624,287051.958031163
명품 MBA 태권도,054-977-3303,경상북도 칠곡군 석적읍 남율리 710 우방아파트 상가 802동 204호,325364.145153496,286777.479586537
오태태권도장,054-974-7626,경상북도 칠곡군 북삼읍 인평리 1086-6번지,321525.44711838,286244.15729951
북삼키즈태권도 체육관,054-974-7113,경상북도 칠곡군 북삼읍 숭오리 26-11번지,320151.617203187,285831.71519346
무예태권도체육관,054-977-1316,경상북도 칠곡군 석적읍 중리 141번지 부영아파트 상가 302호,327315.499280309,287461.896101542
엄지태권도장,054-975-8006,경상북도 칠곡군 북삼읍 인평리 658-3번지,320399.283708195,286406.238286654
북삼성무태권도장,054-972-0876,경상북도 칠곡군 북삼읍 인평리 306-7번지,321015.893121895,285589.758936776
한얼체육관,054-971-7896,경상북도 칠곡군 석적읍 남율리 737번지,325428.407890879,286910.23863221
바람소리 태권도장,054-973-9831,경상북도 칠곡군 약목면 관호리 923-10,325264.169245031,278613.486939255
