시도,시군구,읍면동,lat,lon
서울특별시,종로구,청운효자동,37.584009,126.970626
서울특별시,종로구,사직동,37.575408,126.965944
서울특별시,종로구,삼청동,37.590758,126.980996
서울특별시,종로구,부암동,37.594768,126.965574
서울특별시,종로구,평창동,37.613029,126.974485
서울특별시,종로구,무악동,37.57711,126.958562
서울특별시,종로구,교남동,37.568547,126.964454
서울특별시,종로구,가회동,37.582682,126.984831
서울특별시,종로구,종로1.2.3.4가동,37.570962,126.977881
서울특별시,종로구,종로5.6가동,37.573681,127.009292
서울특별시,종로구,이화동,37.577245,127.005622
서울특별시,종로구,혜화동,37.587817,127.001745
서울특별시,종로구,창신제1동,37.573172,126.97922
서울특별시,종로구,창신제2동,37.573172,126.97922
서울특별시,종로구,창신제3동,37.573172,126.97922
서울특별시,종로구,숭인제1동,37.573172,126.97922
서울특별시,종로구,숭인제2동,37.573172,126.97922
서울특별시,중구,소공동,37.564079,126.980046
서울특별시,중구,회현동,37.557288,126.979369
서울특별시,중구,명동,37.560029,126.985806
서울특별시,중구,필동,37.560148,126.995572
서울특별시,중구,장충동,37.561919,127.007818
서울특별시,중구,광희동,37.564445,127.005023
서울특별시,중구,을지로동,37.56669,126.991319
서울특별시,중구,신당동,37.557913,127.013655
서울특별시,중구,다산동,37.554398,127.008155
서울특별시,중구,약수동,37.552459,127.008973
서울특별시,중구,청구동,37.557074,127.014616
서울특별시,중구,신당제5동,37.56376,126.997459
서울특별시,중구,동화동,37.560042,127.019399
서울특별시,중구,황학동,37.568542,127.020827
서울특별시,중구,중림동,37.558842,126.96632
서울특별시,용산구,후암동,37.549901,126.980613
서울특별시,용산구,용산2가동,37.542884,126.985008
서울특별시,용산구,남영동,37.542865,126.973353
서울특별시,용산구,청파동,37.545502,126.969899
서울특별시,용산구,원효로제1동,37.532612,126.990182
서울특별시,용산구,원효로제2동,37.532612,126.990182
서울특별시,용산구,효창동,37.542828,126.960951
서울특별시,용산구,용문동,37.537663,126.959677
서울특별시,용산구,한강로동,37.529054,126.969503
서울특별시,용산구,이촌제1동,37.532612,126.990182
