기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2021	합계	합계	계	9,453,878	257,416.5	345,579	368,547	397,353.5	613,102.5	819,668.5	725,415	718,262.5	718,342	762,370	777,551.5	706,599	702,787.5	535,174	392,366.5	293,549.5	189,601	90,257.5	31,768.5	7,074.5	1,092
2021	합계	합계	남자	4,593,754	132,592.5	177,071	189,343.5	203,647	291,759.5	400,274	362,205.5	359,548	355,915.5	377,109.5	382,401	346,409	333,694.5	250,507	180,478.5	131,766.5	78,511	30,666.5	8,102	1,536.5	215.5
2021	합계	합계	여자	4,860,124	124,824	168,508	179,203.5	193,706.5	321,343	419,394.5	363,209.5	358,714.5	362,426.5	385,260.5	395,150.5	360,190	369,093	284,667	211,888	161,783	111,090	59,591	23,666.5	5,538	876.5
2021	종로구	소계	계	142,767	2,899.5	4,345	5,014	5,612.5	10,138	12,777	10,079.5	9,334.5	9,669.5	11,312.5	12,544.5	11,728	10,976.5	8,217.5	6,154.5	5,312	3,857.5	1,903	687.5	178.5	25.5
2021	종로구	소계	남자	69,386	1,460	2,202.5	2,491.5	2,799	4,672	6,490.5	5,071	4,601.5	4,645.5	5,527	6,180.5	6,014.5	5,506	4,056.5	2,813	2,283	1,587.5	724	196.5	56.5	7.5
2021	종로구	소계	여자	73,381	1,439.5	2,142.5	2,522.5	2,813.5	5,466	6,286.5	5,008.5	4,733	5,024	5,785.5	6,364	5,713.5	5,470.5	4,161	3,341.5	3,029	2,270	1,179	491	122	18
2021	종로구	사직동	계	9,084	211.5	354	336.5	329.5	473	726	735.5	683.5	687	748.5	780	685	666.5	464.5	353.5	332	286	152	58.5	19	2
2021	종로구	사직동	남자	4,080.5	106.5	175.5	154	144.5	206.5	340	334.5	276.5	297	342	348.5	319.5	312	217.5	147.5	142	122	63	22	8.5	1
2021	종로구	사직동	여자	5,003.5	105	178.5	182.5	185	266.5	386	401	407	390	406.5	431.5	365.5	354.5	247	206	190	164	89	36.5	10.5	1
2021	종로구	삼청동	계	2,441.5	37	66.5	93.5	86	141	174	155	169	182	163.5	187	198.5	210	167	134.5	111.5	86.5	55	18.5	4.5	1
2021	종로구	삼청동	남자	1,175	15	31.5	51.5	52.5	77	85.5	77.5	78	90	75.5	95	100	97.5	78	66.5	47	29.5	17.5	7	2	1
2021	종로구	삼청동	여자	1,266.5	22	35	42	33.5	64	88.5	77.5	91	92	88	92	98.5	112.5	89	68	64.5	57	37.5	11.5	2.5	-
2021	종로구	부암동	계	9,518	187.5	337	422	459	591	672.5	593	604.5	706	847	869.5	774.5	737.5	533.5	407	333	252.5	123.5	53.5	12	2
2021	종로구	부암동	남자	4,546.5	85.5	175	241	239.5	292	366	301	276	311.5	399.5	385	364	351	255.5	181	154	102	51.5	12.5	2.5	0.5
2021	종로구	부암동	여자	4,971.5	102	162	181	219.5	299	306.5	292	328.5	394.5	447.5	484.5	410.5	386.5	278	226	179	150.5	72	41	9.5	1.5
2021	종로구	평창동	계	17,852	467	689.5	749	849.5	1,125.5	1,247	1,014	1,163.5	1,234.5	1,415.5	1,618.5	1,558.5	1,450	1,059.5	709.5	582.5	481	280	112.5	37.5	7.5
2021	종로구	평창동	남자	8,328	246	358	368.5	420	564	630.5	492	521.5	554	627	704	742.5	689	500	327.5	243	194.5	108	27.5	8.5	2
2021	종로구	평창동	여자	9,524	221	331.5	380.5	429.5	561.5	616.5	522	642	680.5	788.5	914.5	816	761	559.5	382	339.5	286.5	172	85	29	5.5
2021	종로구	무악동	계	8,258.5	257.5	412	498.5	495.5	477	441	383.5	528.5	638.5	791	773.5	627.5	563	426	330.5	263	217	92.5	31.5	9	2
2021	종로구	무악동	남자	3,843.5	122.5	182	222.5	231	210	215.5	168.5	247	286.5	385	417	311	259.5	195	142	109	86.5	40	9.5	2.5	1
2021	종로구	무악동	여자	4,415	135	230	276	264.5	267	225.5	215	281.5	352	406	356.5	316.5	303.5	231	188.5	154	130.5	52.5	22	6.5	1
2021	종로구	교남동	계	10,070.5	380.5	463.5	406	416	535	695	785	844	854.5	933	876.5	692	636.5	483	403	307	219.5	100	31.5	7.5	1.5
2021	종로구	교남동	남자	4,667.5	186.5	240	203.5	186	258.5	320.5	357	387	413.5	427	411.5	344.5	289	220.5	162	121	92.5	36.5	10	0.5	-
2021	종로구	교남동	여자	5,403	194	223.5	202.5	230	276.5	374.5	428	457	441	506	465	347.5	347.5	262.5	241	186	127	63.5	21.5	7	1.5
2021	종로구	가회동	계	4,042.5	67	119	174	155	214	265	252	295	337	372.5	357.5	285.5	305.5	237	204.5	188	118	64	24.5	7.5	-
2021	종로구	가회동	남자	1,874.5	40	55.5	87.5	86.5	102	120	110.5	145.5	157	177	175.5	124.5	146.5	110	90	66.5	47.5	26.5	4.5	1.5	-
2021	종로구	가회동	여자	2,168	27	63.5	86.5	68.5	112	145	141.5	149.5	180	195.5	182	161	159	127	114.5	121.5	70.5	37.5	20	6	-
2021	종로구	종로1.2.3.4가동	계	6,557	85	101	102	114.5	331.5	562	477.5	439	402	469.5	534	652.5	688.5	535	370	330.5	214	104	31	11.5	2
2021	종로구	종로1.2.3.4가동	남자	3,974	42.5	53	61.5	51	136.5	313.5	270	251.5	241	302	380.5	457.5	461.5	356.5	236.5	187.5	111.5	48.5	5	5.5	1
2021	종로구	종로1.2.3.4가동	여자	2,583	42.5	48	40.5	63.5	195	248.5	207.5	187.5	161	167.5	153.5	195	227	178.5	133.5	143	102.5	55.5	26	6	1
2021	종로구	종로5·6가동	계	5,016.5	44.5	60	85.5	135.5	412	680	440.5	273.5	239	312.5	434.5	446.5	420	295.5	264.5	231	148	63.5	26	4	-
2021	종로구	종로5·6가동	남자	2,686.5	21	30	38.5	66	179	358	252	167.5	147	177.5	241.5	259.5	244	168.5	121.5	114.5	66.5	25.5	6.5	2	-
2021	종로구	종로5·6가동	여자	2,330	23.5	30	47	69.5	233	322	188.5	106	92	135	193	187	176	127	143	116.5	81.5	38	19.5	2	-
2021	종로구	이화동	계	7,189.5	93.5	135	180	208	569.5	1,050.5	750.5	460	416	469.5	536.5	528.5	487.5	416.5	288	262.5	193	104	32.5	6.5	1.5
2021	종로구	이화동	남자	3,386	44	71.5	83.5	99	254.5	496.5	365	229.5	209.5	233.5	260	269	223.5	195	128.5	107.5	70.5	32	12.5	1	-
2021	종로구	이화동	여자	3,803.5	49.5	63.5	96.5	109	315	554	385.5	230.5	206.5	236	276.5	259.5	264	221.5	159.5	155	122.5	72	20	5.5	1.5
2021	종로구	창신1동	계	4,762	54	73.5	97	133	266.5	334.5	289.5	242.5	249.5	324.5	454.5	554	557	399	270	219.5	166.5	47.5	23	6.5	-
2021	종로구	창신1동	남자	2,557	27	34	55	69.5	144.5	178.5	161	152.5	127	167.5	248.5	319	321.5	229	131.5	107	62	13.5	5.5	3	-
2021	종로구	창신1동	여자	2,205	27	39.5	42	63.5	122	156	128.5	90	122.5	157	206	235	235.5	170	138.5	112.5	104.5	34	17.5	3.5	-
2021	종로구	창신2동	계	7,925.5	101.5	122.5	184	282	509	616	493.5	402.5	394.5	617.5	870.5	883.5	776.5	573.5	420.5	335	213.5	92	34	3.5	-
2021	종로구	창신2동	남자	4,079	57.5	69.5	94	145	264	336.5	285	235.5	217.5	311	455.5	469.5	407.5	277.5	196.5	119	88.5	35.5	13	1	-
2021	종로구	창신2동	여자	3,846.5	44	53	90	137	245	279.5	208.5	167	177	306.5	415	414	369	296	224	216	125	56.5	21	2.5	-
2021	종로구	창신3동	계	6,641	176	194	231.5	267	411.5	521	458	481.5	405	500.5	636.5	598.5	587.5	403.5	266.5	240.5	151.5	77	27.5	5	1
2021	종로구	창신3동	남자	3,263.5	97	105	112.5	133	224	274.5	213	249.5	195	248	298.5	297.5	295.5	200	122.5	105	52	28	9	3	1
2021	종로구	창신3동	여자	3,377.5	79	89	119	134	187.5	246.5	245	232	210	252.5	338	301	292	203.5	144	135.5	99.5	49	18.5	2	-
2021	종로구	숭인1동	계	5,845	96	168.5	164.5	186	341	434	403	401.5	403.5	481	546.5	571	496	389.5	278	230.5	148	74.5	27	5	-
2021	종로구	숭인1동	남자	2,824	54	86	78	83.5	163.5	224.5	193	215.5	210.5	253.5	248	295	223.5	190.5	125.5	92	59	20.5	6.5	1.5	-
